               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,             0.03463,            0.088797,           0.0048064,             0.74992,             0.68449,              0.7431,             0.45199,            0.028749,            0.079081,           0.0048438,            0.006766,            0.006766,            0.006766
                  51,            0.034514,            0.086435,            0.004768,             0.75123,             0.68379,              0.7424,             0.45605,            0.028211,            0.078591,            0.004905,              0.0067,              0.0067,              0.0067
                  52,            0.034222,            0.089073,           0.0049278,             0.75553,             0.68115,             0.74081,             0.46462,            0.027607,            0.078589,           0.0048395,            0.006634,            0.006634,            0.006634
                  53,            0.034112,            0.088659,            0.004613,             0.74452,             0.68212,              0.7378,             0.44644,            0.029348,            0.079399,           0.0049716,            0.006568,            0.006568,            0.006568
                  54,            0.034171,             0.08657,           0.0045389,               0.744,             0.67777,             0.73763,             0.45945,            0.027217,            0.078617,           0.0048469,            0.006502,            0.006502,            0.006502
                  55,            0.033462,             0.08804,           0.0043786,             0.74452,             0.67851,             0.73964,             0.44043,            0.028735,             0.07946,           0.0049839,            0.006436,            0.006436,            0.006436
                  56,            0.034065,            0.091798,           0.0046213,             0.75429,             0.68195,             0.74204,             0.46838,            0.027481,            0.078057,           0.0048627,             0.00637,             0.00637,             0.00637
                  57,            0.033684,            0.085965,           0.0045605,             0.75289,             0.67808,             0.74106,             0.45778,            0.028716,            0.079116,           0.0049153,            0.006304,            0.006304,            0.006304
                  58,            0.033381,            0.085309,           0.0046205,             0.75553,              0.6787,             0.74254,             0.46381,            0.026735,            0.078212,            0.004749,            0.006238,            0.006238,            0.006238
                  59,            0.033534,            0.087623,           0.0045184,             0.74909,             0.68547,             0.74581,             0.45989,            0.026918,            0.078146,           0.0047455,            0.006172,            0.006172,            0.006172
                  60,            0.033109,            0.087207,           0.0045147,             0.74966,             0.68064,             0.73765,             0.46535,            0.026683,            0.078296,           0.0047705,            0.006106,            0.006106,            0.006106
                  61,            0.032494,            0.088623,           0.0046104,             0.75542,             0.67486,             0.73844,             0.45791,             0.02803,             0.07894,           0.0048468,             0.00604,             0.00604,             0.00604
                  62,            0.032338,            0.087242,           0.0044397,             0.75547,             0.68615,             0.74322,             0.46326,            0.026793,             0.07812,           0.0046714,            0.005974,            0.005974,            0.005974
                  63,             0.03269,            0.089645,           0.0044939,             0.74372,             0.68917,             0.74324,             0.46129,            0.027568,            0.078636,           0.0047794,            0.005908,            0.005908,            0.005908
                  64,            0.031688,            0.084337,           0.0045298,             0.75519,             0.68204,             0.74553,             0.47128,            0.026408,            0.077773,           0.0046698,            0.005842,            0.005842,            0.005842
                  65,            0.031964,            0.083734,           0.0045493,             0.74299,             0.68857,             0.74416,             0.46219,            0.027033,            0.078309,           0.0047267,            0.005776,            0.005776,            0.005776
                  66,            0.032056,            0.088344,            0.004402,              0.7495,             0.68326,             0.74363,             0.46673,             0.02624,            0.078091,           0.0047073,             0.00571,             0.00571,             0.00571
                  67,            0.031502,            0.086465,           0.0042353,             0.74796,             0.67893,             0.74171,             0.46081,             0.02687,            0.078447,           0.0046216,            0.005644,            0.005644,            0.005644
                  68,            0.031138,            0.085501,           0.0042319,             0.74404,             0.68681,             0.74115,             0.46899,            0.026518,            0.078774,           0.0047216,            0.005578,            0.005578,            0.005578
                  69,            0.031473,            0.084745,           0.0044654,             0.75215,             0.68454,             0.74468,             0.46417,            0.027047,            0.078214,           0.0046477,            0.005512,            0.005512,            0.005512
                  70,            0.030733,            0.083857,           0.0042749,             0.75752,             0.68237,             0.74251,              0.4633,            0.026632,            0.078363,           0.0046048,            0.005446,            0.005446,            0.005446
                  71,            0.031459,            0.085274,           0.0041343,             0.75093,              0.6828,              0.7432,             0.46306,             0.02695,            0.078534,           0.0045872,             0.00538,             0.00538,             0.00538
                  72,            0.030689,            0.083644,           0.0041884,             0.73412,             0.69115,             0.73953,             0.46033,            0.026984,            0.078645,           0.0046099,            0.005314,            0.005314,            0.005314
                  73,            0.030358,            0.082984,           0.0043289,             0.74952,             0.67944,             0.74152,             0.45787,            0.027783,            0.079161,           0.0047452,            0.005248,            0.005248,            0.005248
                  74,            0.030869,            0.087491,           0.0041833,              0.7451,             0.68094,             0.74085,             0.46772,            0.026162,            0.078755,            0.004653,            0.005182,            0.005182,            0.005182
                  75,              0.0307,            0.083014,           0.0040819,              0.7504,             0.68434,             0.74377,             0.46559,            0.026977,            0.079108,           0.0047063,            0.005116,            0.005116,            0.005116
                  76,            0.030249,            0.086643,           0.0041277,             0.75327,             0.67904,             0.74234,             0.46829,            0.026039,            0.078083,           0.0047528,             0.00505,             0.00505,             0.00505
                  77,            0.030344,            0.084059,            0.004173,             0.75234,             0.68686,             0.74277,             0.46725,            0.026461,            0.078682,           0.0046007,            0.004984,            0.004984,            0.004984
                  78,            0.030117,             0.08349,           0.0040595,             0.74875,             0.68502,             0.74272,             0.47141,             0.02594,            0.078143,           0.0045722,            0.004918,            0.004918,            0.004918
                  79,            0.029868,            0.083728,           0.0040541,             0.74684,             0.68064,             0.74214,             0.46329,            0.026805,            0.078868,           0.0046849,            0.004852,            0.004852,            0.004852
                  80,            0.029876,            0.083871,           0.0042142,             0.75782,             0.67903,             0.74135,             0.46743,            0.026049,            0.078474,           0.0045249,            0.004786,            0.004786,            0.004786
                  81,            0.029807,            0.085428,           0.0041021,             0.74958,             0.68386,             0.74317,             0.46553,            0.026759,            0.079478,           0.0044984,             0.00472,             0.00472,             0.00472
                  82,            0.029665,            0.083877,           0.0041579,             0.76547,              0.6732,             0.74058,             0.46662,            0.025991,            0.078965,           0.0046547,            0.004654,            0.004654,            0.004654
                  83,            0.029581,            0.084227,           0.0040002,             0.75637,             0.67881,             0.74065,             0.46398,            0.026444,             0.07912,           0.0045306,            0.004588,            0.004588,            0.004588
                  84,            0.029375,            0.083419,           0.0041346,             0.76014,             0.68201,             0.74594,             0.47198,              0.0259,            0.078684,           0.0045066,            0.004522,            0.004522,            0.004522
                  85,            0.028948,            0.083171,           0.0039282,             0.76317,             0.68111,             0.74382,                0.47,            0.026208,            0.079022,           0.0044143,            0.004456,            0.004456,            0.004456
                  86,            0.028926,            0.082477,           0.0041577,             0.74816,             0.68389,             0.74313,             0.47073,            0.026005,            0.078845,           0.0044263,             0.00439,             0.00439,             0.00439
                  87,            0.028594,             0.08362,           0.0039699,             0.74908,             0.68611,             0.74031,             0.47011,            0.025985,            0.078857,           0.0044442,            0.004324,            0.004324,            0.004324
                  88,            0.028346,            0.081549,           0.0040364,             0.74328,             0.68771,             0.74372,             0.46953,             0.02614,            0.078884,           0.0044823,            0.004258,            0.004258,            0.004258
                  89,            0.028328,            0.083144,           0.0040637,             0.74805,             0.68542,             0.74354,             0.47201,            0.026233,             0.07842,           0.0046048,            0.004192,            0.004192,            0.004192
                  90,            0.028356,            0.083046,           0.0038868,             0.75094,             0.68382,             0.74718,             0.47252,            0.025796,            0.078496,           0.0044551,            0.004126,            0.004126,            0.004126
                  91,            0.028309,            0.082687,           0.0041406,             0.75904,             0.68236,             0.74462,             0.47097,            0.025754,             0.07861,           0.0045645,             0.00406,             0.00406,             0.00406
                  92,            0.028498,            0.083377,           0.0040207,             0.75741,             0.67757,             0.74187,             0.46759,            0.026251,            0.079672,           0.0044246,            0.003994,            0.003994,            0.003994
                  93,            0.027964,            0.081805,           0.0037765,              0.7489,             0.68654,              0.7458,              0.4711,            0.025831,            0.078595,           0.0044492,            0.003928,            0.003928,            0.003928
                  94,             0.02817,            0.082266,           0.0040354,             0.74906,             0.69099,             0.74594,             0.47643,            0.025712,            0.078569,           0.0043841,            0.003862,            0.003862,            0.003862
                  95,            0.027905,            0.082408,           0.0040876,             0.73945,             0.69085,             0.74324,             0.47445,            0.025813,            0.078351,           0.0044196,            0.003796,            0.003796,            0.003796
                  96,            0.027902,            0.081027,           0.0041456,             0.75812,             0.67268,             0.74029,             0.47157,            0.025632,            0.078998,           0.0045031,             0.00373,             0.00373,             0.00373
                  97,            0.027462,            0.079088,           0.0038214,             0.75309,             0.68191,             0.74454,             0.47123,             0.02588,             0.07935,           0.0044636,            0.003664,            0.003664,            0.003664
                  98,            0.027427,             0.08028,           0.0039894,             0.75483,              0.6789,             0.74283,             0.47269,             0.02568,             0.07923,           0.0044703,            0.003598,            0.003598,            0.003598
